region_name,country_name,Avg Recorded Value,P95 Recorded Value
Central Europe,Austria,81.945296075609,157.91701422797308
Central Europe,Croatia,79.74585596720378,172.91832542419434
Central Europe,Czech Republic,79.09515444437663,158.74586073557535
Central Europe,Germany,80.0958444595337,155.58525517781575
Central Europe,Hungary,79.43401463826497,155.64319292704263
Central Europe,Poland,76.11073017120361,152.34006563822427
Eastern Europe,Belarus,74.53653271993001,151.61547724405924
Eastern Europe,Greece,95.07001558939616,185.78899892171225
Eastern Europe,Russia,78.03715674082439,169.22316281000772
Eastern Europe,Serbia,70.62741343180339,120.24911435445149
Eastern Europe,Turkey,80.61919291814168,166.99252065022787
Western Europe,Belgium,77.5215965906779,151.898468653361
Western Europe,Denmark,76.57482020060222,154.56942303975424
Western Europe,Finland,74.28438981374104,125.8116906483968
Western Europe,France,77.23893197377522,144.59837574428983
Western Europe,Italy,74.81895271937053,146.65613142649332
Western Europe,Spain,75.90826161702473,159.99082056681314
Western Europe,Sweden,76.15959564844768,139.53991063435873
Western Europe,United Kingdom,79.11582883199056,170.84036254882812
